collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-03T22:00:00Z,2026-05-04T00:00:00+0200,81.1775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-03T23:00:00Z,2026-05-04T01:00:00+0200,121.0825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T00:00:00Z,2026-05-04T02:00:00+0200,200.675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T01:00:00Z,2026-05-04T03:00:00+0200,75.815,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T02:00:00Z,2026-05-04T04:00:00+0200,133.79,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T03:00:00Z,2026-05-04T05:00:00+0200,64.91,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T04:00:00Z,2026-05-04T06:00:00+0200,1.9,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T04:00:00Z,2026-05-04T06:00:00+0200,5.4825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T05:00:00Z,2026-05-04T07:00:00+0200,19.0725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T06:00:00Z,2026-05-04T08:00:00+0200,1.635,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T06:00:00Z,2026-05-04T08:00:00+0200,3.8975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T07:00:00Z,2026-05-04T09:00:00+0200,16.3375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T08:00:00Z,2026-05-04T10:00:00+0200,20.5,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T09:00:00Z,2026-05-04T11:00:00+0200,23.325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T10:00:00Z,2026-05-04T12:00:00+0200,18.3875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T11:00:00Z,2026-05-04T13:00:00+0200,25.8025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T12:00:00Z,2026-05-04T14:00:00+0200,33.095,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T13:00:00Z,2026-05-04T15:00:00+0200,35.0575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T14:00:00Z,2026-05-04T16:00:00+0200,228.3175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T15:00:00Z,2026-05-04T17:00:00+0200,483.6825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T16:00:00Z,2026-05-04T18:00:00+0200,528.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T17:00:00Z,2026-05-04T19:00:00+0200,394.1675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T18:00:00Z,2026-05-04T20:00:00+0200,539.34,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T19:00:00Z,2026-05-04T21:00:00+0200,760.19,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
2026-06-03T01:59:55Z,2026-06-03T03:59:55+0200,fe252fc6-7d60-4755-8571-8bb23c2efc2a,2026-05-04T20:00:00Z,2026-05-04T22:00:00+0200,782.63,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-03T02:01:24Z
