collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-14T22:00:00Z,2026-05-15T00:00:00+0200,62.1375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-14T23:00:00Z,2026-05-15T01:00:00+0200,120.6025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T00:00:00Z,2026-05-15T02:00:00+0200,142.41,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T01:00:00Z,2026-05-15T03:00:00+0200,249.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T02:00:00Z,2026-05-15T04:00:00+0200,435.27,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T03:00:00Z,2026-05-15T05:00:00+0200,371.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T04:00:00Z,2026-05-15T06:00:00+0200,541.1475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T05:00:00Z,2026-05-15T07:00:00+0200,522.58,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T06:00:00Z,2026-05-15T08:00:00+0200,810.1925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T07:00:00Z,2026-05-15T09:00:00+0200,865.93,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T08:00:00Z,2026-05-15T10:00:00+0200,649.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T09:00:00Z,2026-05-15T11:00:00+0200,670.43,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T10:00:00Z,2026-05-15T12:00:00+0200,548.165,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T11:00:00Z,2026-05-15T13:00:00+0200,518.5575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T12:00:00Z,2026-05-15T14:00:00+0200,463.9725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T13:00:00Z,2026-05-15T15:00:00+0200,515.485,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T14:00:00Z,2026-05-15T16:00:00+0200,490.48,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T15:00:00Z,2026-05-15T17:00:00+0200,191.28,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T16:00:00Z,2026-05-15T18:00:00+0200,472.525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T17:00:00Z,2026-05-15T19:00:00+0200,287.3625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T18:00:00Z,2026-05-15T20:00:00+0200,289.5825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T19:00:00Z,2026-05-15T21:00:00+0200,241.24,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T20:00:00Z,2026-05-15T22:00:00+0200,119.1725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T21:00:00Z,2026-05-15T23:00:00+0200,118.83,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T22:00:00Z,2026-05-16T00:00:00+0200,52.375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-15T23:00:00Z,2026-05-16T01:00:00+0200,70.315,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
2026-06-14T21:02:29Z,2026-06-14T23:02:29+0200,df4d52a4-e47f-42d7-ac61-1f63a50f2ad1,2026-05-16T00:00:00Z,2026-05-16T02:00:00+0200,63.7725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-14T21:03:01Z
