collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T07:15:00Z,2026-09-02T09:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T07:30:00Z,2026-09-02T09:30:00+0200,96.403,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T07:30:00Z,2026-09-02T09:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T07:45:00Z,2026-09-02T09:45:00+0200,127.488,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T07:45:00Z,2026-09-02T09:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:00:00Z,2026-09-02T10:00:00+0200,141.646,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:00:00Z,2026-09-02T10:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:15:00Z,2026-09-02T10:15:00+0200,158.322,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:15:00Z,2026-09-02T10:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-09T04:41:13Z
2026-09-09T04:33:00Z,2026-09-09T06:33:00+0200,60fd2c6a-7403-4cb7-8fee-9b8ab867d2e8,2026-09-02T08:30:00Z,2026-09-02T10:30:00+0200,166.017,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-09T04:41:13Z
