collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T16:45:00Z,2026-09-11T18:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:00:00Z,2026-09-11T19:00:00+0200,7.839,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:00:00Z,2026-09-11T19:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:15:00Z,2026-09-11T19:15:00+0200,8.733,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:15:00Z,2026-09-11T19:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:30:00Z,2026-09-11T19:30:00+0200,4.944,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:30:00Z,2026-09-11T19:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:45:00Z,2026-09-11T19:45:00+0200,1.367,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T17:45:00Z,2026-09-11T19:45:00+0200,0.366,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:00:00Z,2026-09-11T20:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:00:00Z,2026-09-11T20:00:00+0200,0.492,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:15:00Z,2026-09-11T20:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-18T14:25:34Z
2026-09-18T14:25:04Z,2026-09-18T16:25:04+0200,3a4f60e1-a793-4132-b689-e99e97fb987c,2026-09-11T18:15:00Z,2026-09-11T20:15:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-18T14:25:34Z
