collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T21:30:00Z,2026-09-03T23:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T21:30:00Z,2026-09-03T23:30:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T21:45:00Z,2026-09-03T23:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T21:45:00Z,2026-09-03T23:45:00+0200,0.121,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:00:00Z,2026-09-04T00:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:00:00Z,2026-09-04T00:00:00+0200,0.11,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:15:00Z,2026-09-04T00:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:15:00Z,2026-09-04T00:15:00+0200,0.115,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:30:00Z,2026-09-04T00:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-10T16:56:49Z
2026-09-10T16:56:01Z,2026-09-10T18:56:01+0200,b9b24ef3-b3ff-4ee2-8f9a-b577c597ade7,2026-09-03T22:30:00Z,2026-09-04T00:30:00+0200,0.121,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-10T16:56:49Z
