collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T03:15:00Z,2026-09-06T05:15:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T03:30:00Z,2026-09-06T05:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T03:30:00Z,2026-09-06T05:30:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T03:45:00Z,2026-09-06T05:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T03:45:00Z,2026-09-06T05:45:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:00:00Z,2026-09-06T06:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:00:00Z,2026-09-06T06:00:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:15:00Z,2026-09-06T06:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:15:00Z,2026-09-06T06:15:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:30:00Z,2026-09-06T06:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:30:00Z,2026-09-06T06:30:00+0200,0.127,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:45:00Z,2026-09-06T06:45:00+0200,0.263,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T04:45:00Z,2026-09-06T06:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:00:00Z,2026-09-06T07:00:00+0200,3.937,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:00:00Z,2026-09-06T07:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:15:00Z,2026-09-06T07:15:00+0200,6.677,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:15:00Z,2026-09-06T07:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:30:00Z,2026-09-06T07:30:00+0200,12.077,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:30:00Z,2026-09-06T07:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:45:00Z,2026-09-06T07:45:00+0200,20.22,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T05:45:00Z,2026-09-06T07:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:00:00Z,2026-09-06T08:00:00+0200,30.597,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:00:00Z,2026-09-06T08:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:15:00Z,2026-09-06T08:15:00+0200,44.266,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:15:00Z,2026-09-06T08:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:30:00Z,2026-09-06T08:30:00+0200,58.775,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:30:00Z,2026-09-06T08:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:45:00Z,2026-09-06T08:45:00+0200,74.463,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T06:45:00Z,2026-09-06T08:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T07:00:00Z,2026-09-06T09:00:00+0200,90.577,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T07:00:00Z,2026-09-06T09:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T07:15:00Z,2026-09-06T09:15:00+0200,106.095,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-13T00:35:55Z
2026-09-13T00:35:08Z,2026-09-13T02:35:08+0200,a9008583-6135-46c5-a2e4-7e39cadd6f56,2026-09-06T07:15:00Z,2026-09-06T09:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-13T00:35:55Z
