collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T06:30:00Z,2026-09-19T08:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T06:45:00Z,2026-09-19T08:45:00+0200,35.445,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T06:45:00Z,2026-09-19T08:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:00:00Z,2026-09-19T09:00:00+0200,35.655,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:00:00Z,2026-09-19T09:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:15:00Z,2026-09-19T09:15:00+0200,31.115,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:15:00Z,2026-09-19T09:15:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:30:00Z,2026-09-19T09:30:00+0200,24.884,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:30:00Z,2026-09-19T09:30:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:45:00Z,2026-09-19T09:45:00+0200,24.682,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T07:45:00Z,2026-09-19T09:45:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T08:00:00Z,2026-09-19T10:00:00+0200,23.015,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T08:00:00Z,2026-09-19T10:00:00+0200,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-09-26T01:26:41Z
2026-09-26T01:25:47Z,2026-09-26T03:25:47+0200,e6de4ac0-92e4-4aaf-8920-fd839c7e385d,2026-09-19T08:15:00Z,2026-09-19T10:15:00+0200,30.387,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-09-26T01:26:41Z
