timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,1997.9,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T00:00:00Z,2022-01-01T01:00:00+0100,18.24,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T00:15:00Z,2022-01-01T01:15:00+0100,1876.64,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T00:15:00Z,2022-01-01T01:15:00+0100,17.79,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T00:30:00Z,2022-01-01T01:30:00+0100,1798.92,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T00:30:00Z,2022-01-01T01:30:00+0100,16.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T00:45:00Z,2022-01-01T01:45:00+0100,1683.86,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T00:45:00Z,2022-01-01T01:45:00+0100,11.79,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,1524.14,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T01:00:00Z,2022-01-01T02:00:00+0100,9.22,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T01:15:00Z,2022-01-01T02:15:00+0100,1399.71,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T01:15:00Z,2022-01-01T02:15:00+0100,10.12,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T01:30:00Z,2022-01-01T02:30:00+0100,1412.18,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T01:30:00Z,2022-01-01T02:30:00+0100,10.23,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T01:45:00Z,2022-01-01T02:45:00+0100,1380.76,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T01:45:00Z,2022-01-01T02:45:00+0100,7.5,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,1325.08,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T02:00:00Z,2022-01-01T03:00:00+0100,2.12,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T02:15:00Z,2022-01-01T03:15:00+0100,1319.99,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T02:15:00Z,2022-01-01T03:15:00+0100,7.79,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T02:30:00Z,2022-01-01T03:30:00+0100,1362.51,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T02:30:00Z,2022-01-01T03:30:00+0100,9.82,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T02:45:00Z,2022-01-01T03:45:00+0100,1388.65,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T02:45:00Z,2022-01-01T03:45:00+0100,9.29,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,1439.71,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T03:00:00Z,2022-01-01T04:00:00+0100,11.47,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T03:15:00Z,2022-01-01T04:15:00+0100,1406.32,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T03:15:00Z,2022-01-01T04:15:00+0100,8.88,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T03:30:00Z,2022-01-01T04:30:00+0100,1470.49,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T03:30:00Z,2022-01-01T04:30:00+0100,11.84,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T03:45:00Z,2022-01-01T04:45:00+0100,1427.83,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T03:45:00Z,2022-01-01T04:45:00+0100,9.71,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,1364.11,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T04:00:00Z,2022-01-01T05:00:00+0100,10.43,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T04:15:00Z,2022-01-01T05:15:00+0100,1395.37,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T04:15:00Z,2022-01-01T05:15:00+0100,8.56,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T04:30:00Z,2022-01-01T05:30:00+0100,1369.9,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T04:30:00Z,2022-01-01T05:30:00+0100,9.2,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T04:45:00Z,2022-01-01T05:45:00+0100,1493.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T04:45:00Z,2022-01-01T05:45:00+0100,10.03,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,1568.6,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:46:06Z
2022-01-01T05:00:00Z,2022-01-01T06:00:00+0100,3.66,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:46:06Z
