timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,3014.25,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T00:00:00Z,2024-01-01T01:00:00+0100,1.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T00:15:00Z,2024-01-01T01:15:00+0100,3006.65,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T00:15:00Z,2024-01-01T01:15:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T00:30:00Z,2024-01-01T01:30:00+0100,2980.38,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T00:30:00Z,2024-01-01T01:30:00+0100,1.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T00:45:00Z,2024-01-01T01:45:00+0100,2980.67,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T00:45:00Z,2024-01-01T01:45:00+0100,1.87,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,2963.64,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T01:00:00Z,2024-01-01T02:00:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T01:15:00Z,2024-01-01T02:15:00+0100,3014.85,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T01:15:00Z,2024-01-01T02:15:00+0100,1.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T01:30:00Z,2024-01-01T02:30:00+0100,3043.92,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T01:30:00Z,2024-01-01T02:30:00+0100,1.87,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T01:45:00Z,2024-01-01T02:45:00+0100,3049.55,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T01:45:00Z,2024-01-01T02:45:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,3040.84,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T02:00:00Z,2024-01-01T03:00:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T02:15:00Z,2024-01-01T03:15:00+0100,3031.89,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T02:15:00Z,2024-01-01T03:15:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T02:30:00Z,2024-01-01T03:30:00+0100,3042.0,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T02:30:00Z,2024-01-01T03:30:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T02:45:00Z,2024-01-01T03:45:00+0100,3003.21,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T02:45:00Z,2024-01-01T03:45:00+0100,2.16,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,3014.69,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T03:00:00Z,2024-01-01T04:00:00+0100,1.58,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T03:15:00Z,2024-01-01T04:15:00+0100,3039.24,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T03:15:00Z,2024-01-01T04:15:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T03:30:00Z,2024-01-01T04:30:00+0100,3033.8,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T03:30:00Z,2024-01-01T04:30:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T03:45:00Z,2024-01-01T04:45:00+0100,3042.45,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T03:45:00Z,2024-01-01T04:45:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,3044.84,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T04:00:00Z,2024-01-01T05:00:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T04:15:00Z,2024-01-01T05:15:00+0100,3049.68,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T04:15:00Z,2024-01-01T05:15:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T04:30:00Z,2024-01-01T05:30:00+0100,3039.49,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T04:30:00Z,2024-01-01T05:30:00+0100,1.44,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T04:45:00Z,2024-01-01T05:45:00+0100,3027.49,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T04:45:00Z,2024-01-01T05:45:00+0100,1.3,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,2969.35,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T05:00:00Z,2024-01-01T06:00:00+0100,1.73,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
2024-01-01T05:15:00Z,2024-01-01T06:15:00+0100,2809.57,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-05T15:49:56Z
2024-01-01T05:15:00Z,2024-01-01T06:15:00+0100,1.3,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-05T15:49:56Z
