collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-23T21:00:00Z,2026-07-23T23:00:00+0200,30.2125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-23T22:00:00Z,2026-07-24T00:00:00+0200,30.625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-23T23:00:00Z,2026-07-24T01:00:00+0200,30.395,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T00:00:00Z,2026-07-24T02:00:00+0200,23.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T01:00:00Z,2026-07-24T03:00:00+0200,1.08,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T01:00:00Z,2026-07-24T03:00:00+0200,11.805,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T02:00:00Z,2026-07-24T04:00:00+0200,10.0975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T03:00:00Z,2026-07-24T05:00:00+0200,46.4875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T04:00:00Z,2026-07-24T06:00:00+0200,61.5875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T05:00:00Z,2026-07-24T07:00:00+0200,114.2675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T06:00:00Z,2026-07-24T08:00:00+0200,155.7075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T07:00:00Z,2026-07-24T09:00:00+0200,136.55,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T08:00:00Z,2026-07-24T10:00:00+0200,47.5825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T09:00:00Z,2026-07-24T11:00:00+0200,18.6725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T10:00:00Z,2026-07-24T12:00:00+0200,12.86,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T11:00:00Z,2026-07-24T13:00:00+0200,0.3575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T11:00:00Z,2026-07-24T13:00:00+0200,9.1025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
2026-08-23T00:25:55Z,2026-08-23T02:25:55+0200,622e9c8e-80ae-4e88-8fb7-b55917c39977,2026-07-24T12:00:00Z,2026-07-24T14:00:00+0200,22.4375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-23T00:26:28Z
