collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-28T22:00:00Z,2026-07-29T00:00:00+0200,27.955,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-28T23:00:00Z,2026-07-29T01:00:00+0200,27.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T00:00:00Z,2026-07-29T02:00:00+0200,26.2075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T01:00:00Z,2026-07-29T03:00:00+0200,29.3825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T02:00:00Z,2026-07-29T04:00:00+0200,29.72,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T03:00:00Z,2026-07-29T05:00:00+0200,29.9525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T04:00:00Z,2026-07-29T06:00:00+0200,29.655,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T05:00:00Z,2026-07-29T07:00:00+0200,29.4475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T06:00:00Z,2026-07-29T08:00:00+0200,28.845,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T07:00:00Z,2026-07-29T09:00:00+0200,28.21,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T08:00:00Z,2026-07-29T10:00:00+0200,23.7975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
2026-08-28T01:22:45Z,2026-08-28T03:22:45+0200,fe344a24-22e0-4cc6-9f99-c4acdbe3c429,2026-07-29T09:00:00Z,2026-07-29T11:00:00+0200,18.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-08-28T01:23:50Z
