collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T12:30:00Z,2026-07-20T14:30:00+0200,656.322,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T12:30:00Z,2026-07-20T14:30:00+0200,0.753,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T12:45:00Z,2026-07-20T14:45:00+0200,671.23,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T12:45:00Z,2026-07-20T14:45:00+0200,0.724,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:00:00Z,2026-07-20T15:00:00+0200,640.726,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:00:00Z,2026-07-20T15:00:00+0200,0.622,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:15:00Z,2026-07-20T15:15:00+0200,673.653,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:15:00Z,2026-07-20T15:15:00+0200,0.645,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:30:00Z,2026-07-20T15:30:00+0200,708.567,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-20T10:12:31Z
2026-08-20T10:07:20Z,2026-08-20T12:07:20+0200,906a8314-999f-4a89-9603-d77b3a27a3c0,2026-07-20T13:30:00Z,2026-07-20T15:30:00+0200,0.478,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-08-20T10:12:31Z
