timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2025-01-01T00:00:00Z,2025-01-01T01:00:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T00:00:00Z,2025-01-01T01:00:00+0100,1.247,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
2025-01-01T00:15:00Z,2025-01-01T01:15:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T00:15:00Z,2025-01-01T01:15:00+0100,1.203,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
2025-01-01T00:30:00Z,2025-01-01T01:30:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T00:30:00Z,2025-01-01T01:30:00+0100,1.249,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
2025-01-01T00:45:00Z,2025-01-01T01:45:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T00:45:00Z,2025-01-01T01:45:00+0100,1.183,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
2025-01-01T01:00:00Z,2025-01-01T02:00:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T01:00:00Z,2025-01-01T02:00:00+0100,1.267,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
2025-01-01T01:15:00Z,2025-01-01T02:15:00+0100,0.0,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-05T15:16:27Z
2025-01-01T01:15:00Z,2025-01-01T02:15:00+0100,1.224,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-05T15:16:27Z
