collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T10:30:00Z,2026-07-08T12:30:00+0200,155.379,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T10:30:00Z,2026-07-08T12:30:00+0200,0.026,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T10:45:00Z,2026-07-08T12:45:00+0200,123.037,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T10:45:00Z,2026-07-08T12:45:00+0200,0.028,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:00:00Z,2026-07-08T13:00:00+0200,163.518,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:00:00Z,2026-07-08T13:00:00+0200,0.026,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:15:00Z,2026-07-08T13:15:00+0200,126.303,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:15:00Z,2026-07-08T13:15:00+0200,0.027,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:30:00Z,2026-07-08T13:30:00+0200,139.465,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-08T07:57:23Z
2026-08-08T07:55:08Z,2026-08-08T09:55:08+0200,d25d8222-109e-42ba-8027-e8348e780c45,2026-07-08T11:30:00Z,2026-07-08T13:30:00+0200,0.028,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-08T07:57:23Z
