collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:15:00Z,2026-07-19T14:15:00+0200,24.013,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:15:00Z,2026-07-19T14:15:00+0200,0.035,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:30:00Z,2026-07-19T14:30:00+0200,20.247,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:30:00Z,2026-07-19T14:30:00+0200,0.037,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:45:00Z,2026-07-19T14:45:00+0200,16.937,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T12:45:00Z,2026-07-19T14:45:00+0200,0.035,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:00:00Z,2026-07-19T15:00:00+0200,21.591,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:00:00Z,2026-07-19T15:00:00+0200,0.039,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:15:00Z,2026-07-19T15:15:00+0200,25.637,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:15:00Z,2026-07-19T15:15:00+0200,0.035,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:30:00Z,2026-07-19T15:30:00+0200,25.007,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:30:00Z,2026-07-19T15:30:00+0200,0.155,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:45:00Z,2026-07-19T15:45:00+0200,16.545,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T13:45:00Z,2026-07-19T15:45:00+0200,0.039,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T14:00:00Z,2026-07-19T16:00:00+0200,31.622,MW,NL,NL,actual_solar_generation,Solar | Actual Aggregated,2026-08-19T09:41:19Z
2026-08-19T09:35:42Z,2026-08-19T11:35:42+0200,fba9c7e2-ca15-49d1-bb2e-d5c8b71bb3b6,2026-07-19T14:00:00Z,2026-07-19T16:00:00+0200,0.037,MW,NL,NL,actual_solar_generation,Solar | Actual Consumption,2026-08-19T09:41:19Z
