collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T12:30:00Z,2026-07-09T14:30:00+0200,92.91,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T12:45:00Z,2026-07-09T14:45:00+0200,96.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T13:00:00Z,2026-07-09T15:00:00+0200,102.49,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T13:15:00Z,2026-07-09T15:15:00+0200,105.73,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T13:30:00Z,2026-07-09T15:30:00+0200,132.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T13:45:00Z,2026-07-09T15:45:00+0200,151.66,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T14:00:00Z,2026-07-09T16:00:00+0200,162.68,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T14:15:00Z,2026-07-09T16:15:00+0200,190.23,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T14:30:00Z,2026-07-09T16:30:00+0200,223.32,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T14:45:00Z,2026-07-09T16:45:00+0200,244.8,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T15:00:00Z,2026-07-09T17:00:00+0200,271.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T15:15:00Z,2026-07-09T17:15:00+0200,300.25,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T15:30:00Z,2026-07-09T17:30:00+0200,323.57,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T15:45:00Z,2026-07-09T17:45:00+0200,379.25,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T16:00:00Z,2026-07-09T18:00:00+0200,382.41,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T16:15:00Z,2026-07-09T18:15:00+0200,373.7,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T16:30:00Z,2026-07-09T18:30:00+0200,408.09,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T16:45:00Z,2026-07-09T18:45:00+0200,405.72,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T17:00:00Z,2026-07-09T19:00:00+0200,425.36,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T17:15:00Z,2026-07-09T19:15:00+0200,469.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T17:30:00Z,2026-07-09T19:30:00+0200,546.42,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T17:45:00Z,2026-07-09T19:45:00+0200,569.77,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T18:00:00Z,2026-07-09T20:00:00+0200,543.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T18:15:00Z,2026-07-09T20:15:00+0200,488.74,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T18:30:00Z,2026-07-09T20:30:00+0200,597.81,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T18:45:00Z,2026-07-09T20:45:00+0200,685.78,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T19:00:00Z,2026-07-09T21:00:00+0200,756.07,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T19:15:00Z,2026-07-09T21:15:00+0200,867.58,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T19:30:00Z,2026-07-09T21:30:00+0200,918.36,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T19:45:00Z,2026-07-09T21:45:00+0200,935.24,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T20:00:00Z,2026-07-09T22:00:00+0200,878.06,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T20:15:00Z,2026-07-09T22:15:00+0200,830.1,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T20:30:00Z,2026-07-09T22:30:00+0200,805.31,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T20:45:00Z,2026-07-09T22:45:00+0200,782.67,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T21:00:00Z,2026-07-09T23:00:00+0200,775.63,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T21:15:00Z,2026-07-09T23:15:00+0200,784.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T21:30:00Z,2026-07-09T23:30:00+0200,780.31,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T21:45:00Z,2026-07-09T23:45:00+0200,848.94,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T22:00:00Z,2026-07-10T00:00:00+0200,917.59,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T22:15:00Z,2026-07-10T00:15:00+0200,980.34,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T22:30:00Z,2026-07-10T00:30:00+0200,1018.47,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T22:45:00Z,2026-07-10T00:45:00+0200,1001.52,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T23:00:00Z,2026-07-10T01:00:00+0200,1063.53,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T23:15:00Z,2026-07-10T01:15:00+0200,1045.02,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T23:30:00Z,2026-07-10T01:30:00+0200,898.23,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-09T23:45:00Z,2026-07-10T01:45:00+0200,787.35,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T00:00:00Z,2026-07-10T02:00:00+0200,703.84,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T00:15:00Z,2026-07-10T02:15:00+0200,656.95,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T00:30:00Z,2026-07-10T02:30:00+0200,621.74,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T00:45:00Z,2026-07-10T02:45:00+0200,593.55,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T01:00:00Z,2026-07-10T03:00:00+0200,611.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T01:15:00Z,2026-07-10T03:15:00+0200,629.07,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T01:30:00Z,2026-07-10T03:30:00+0200,641.75,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T01:45:00Z,2026-07-10T03:45:00+0200,660.6,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T02:00:00Z,2026-07-10T04:00:00+0200,688.16,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T02:15:00Z,2026-07-10T04:15:00+0200,706.22,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T02:30:00Z,2026-07-10T04:30:00+0200,700.68,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T02:45:00Z,2026-07-10T04:45:00+0200,693.48,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T03:00:00Z,2026-07-10T05:00:00+0200,723.36,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T03:15:00Z,2026-07-10T05:15:00+0200,706.81,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T03:30:00Z,2026-07-10T05:30:00+0200,713.15,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T03:45:00Z,2026-07-10T05:45:00+0200,716.59,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T04:00:00Z,2026-07-10T06:00:00+0200,719.06,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T04:15:00Z,2026-07-10T06:15:00+0200,712.72,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T04:30:00Z,2026-07-10T06:30:00+0200,707.92,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T04:45:00Z,2026-07-10T06:45:00+0200,711.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
2026-08-09T06:59:09Z,2026-08-09T08:59:09+0200,d9c97d93-072e-450d-b9d8-affae78d2211,2026-07-10T05:00:00Z,2026-07-10T07:00:00+0200,685.0,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-08-09T07:00:36Z
