collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T08:30:00Z,2026-09-08T10:30:00+0200,1591.404,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T08:30:00Z,2026-09-08T10:30:00+0200,3.96,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T08:45:00Z,2026-09-08T10:45:00+0200,1757.479,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T08:45:00Z,2026-09-08T10:45:00+0200,4.068,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:00:00Z,2026-09-08T11:00:00+0200,1765.734,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:00:00Z,2026-09-08T11:00:00+0200,3.897,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:15:00Z,2026-09-08T11:15:00+0200,1618.95,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:15:00Z,2026-09-08T11:15:00+0200,5.631,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:30:00Z,2026-09-08T11:30:00+0200,1520.394,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:30:00Z,2026-09-08T11:30:00+0200,6.302,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:45:00Z,2026-09-08T11:45:00+0200,1429.436,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T09:45:00Z,2026-09-08T11:45:00+0200,3.453,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:00:00Z,2026-09-08T12:00:00+0200,1250.897,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:00:00Z,2026-09-08T12:00:00+0200,2.146,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:15:00Z,2026-09-08T12:15:00+0200,1141.359,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:15:00Z,2026-09-08T12:15:00+0200,2.262,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:30:00Z,2026-09-08T12:30:00+0200,1142.753,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:30:00Z,2026-09-08T12:30:00+0200,2.39,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:45:00Z,2026-09-08T12:45:00+0200,1179.886,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T10:45:00Z,2026-09-08T12:45:00+0200,2.079,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T06:08:01Z
2026-09-15T06:06:22Z,2026-09-15T08:06:22+0200,8ccf28c9-b4ed-4d83-9b42-f6739a9d3bd7,2026-09-08T11:00:00Z,2026-09-08T13:00:00+0200,1042.368,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T06:08:01Z
