collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:00:00Z,2026-09-03T18:00:00+0200,2939.788,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:00:00Z,2026-09-03T18:00:00+0200,18.729,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:15:00Z,2026-09-03T18:15:00+0200,2907.174,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:15:00Z,2026-09-03T18:15:00+0200,18.801,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:30:00Z,2026-09-03T18:30:00+0200,2912.793,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:30:00Z,2026-09-03T18:30:00+0200,18.798,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:45:00Z,2026-09-03T18:45:00+0200,2951.896,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T16:45:00Z,2026-09-03T18:45:00+0200,18.704,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T17:00:00Z,2026-09-03T19:00:00+0200,2824.195,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T17:00:00Z,2026-09-03T19:00:00+0200,18.757,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-10T15:18:06Z
2026-09-10T15:16:08Z,2026-09-10T17:16:08+0200,f3705de9-0ae6-4f53-a9bc-054aea7de054,2026-09-03T17:15:00Z,2026-09-03T19:15:00+0200,2734.409,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-10T15:18:06Z
