collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T10:30:00Z,2026-09-18T12:30:00+0200,2519.218,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T10:30:00Z,2026-09-18T12:30:00+0200,7.204,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T10:45:00Z,2026-09-18T12:45:00+0200,2579.976,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T10:45:00Z,2026-09-18T12:45:00+0200,8.592,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:00:00Z,2026-09-18T13:00:00+0200,2637.285,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:00:00Z,2026-09-18T13:00:00+0200,9.325,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:15:00Z,2026-09-18T13:15:00+0200,2688.987,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:15:00Z,2026-09-18T13:15:00+0200,8.674,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:30:00Z,2026-09-18T13:30:00+0200,2746.498,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:30:00Z,2026-09-18T13:30:00+0200,11.313,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:45:00Z,2026-09-18T13:45:00+0200,2804.117,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T11:45:00Z,2026-09-18T13:45:00+0200,9.054,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:00:00Z,2026-09-18T14:00:00+0200,2878.279,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:00:00Z,2026-09-18T14:00:00+0200,11.656,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:15:00Z,2026-09-18T14:15:00+0200,2866.958,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:15:00Z,2026-09-18T14:15:00+0200,7.909,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:30:00Z,2026-09-18T14:30:00+0200,2887.008,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:30:00Z,2026-09-18T14:30:00+0200,10.124,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:45:00Z,2026-09-18T14:45:00+0200,2896.618,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T12:45:00Z,2026-09-18T14:45:00+0200,8.435,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:00:00Z,2026-09-18T15:00:00+0200,2893.031,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:00:00Z,2026-09-18T15:00:00+0200,8.057,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:15:00Z,2026-09-18T15:15:00+0200,2959.81,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:15:00Z,2026-09-18T15:15:00+0200,9.091,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:30:00Z,2026-09-18T15:30:00+0200,2988.982,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:30:00Z,2026-09-18T15:30:00+0200,12.042,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:45:00Z,2026-09-18T15:45:00+0200,3080.291,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T13:45:00Z,2026-09-18T15:45:00+0200,15.226,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:00:00Z,2026-09-18T16:00:00+0200,3219.33,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:00:00Z,2026-09-18T16:00:00+0200,15.012,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:15:00Z,2026-09-18T16:15:00+0200,3284.467,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:15:00Z,2026-09-18T16:15:00+0200,12.762,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:30:00Z,2026-09-18T16:30:00+0200,3304.71,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:30:00Z,2026-09-18T16:30:00+0200,13.171,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:45:00Z,2026-09-18T16:45:00+0200,3373.9,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T14:45:00Z,2026-09-18T16:45:00+0200,13.012,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:00:00Z,2026-09-18T17:00:00+0200,3486.032,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:00:00Z,2026-09-18T17:00:00+0200,17.978,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:15:00Z,2026-09-18T17:15:00+0200,3574.523,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:15:00Z,2026-09-18T17:15:00+0200,18.81,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:30:00Z,2026-09-18T17:30:00+0200,3544.06,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:30:00Z,2026-09-18T17:30:00+0200,18.731,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:45:00Z,2026-09-18T17:45:00+0200,3652.644,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T15:45:00Z,2026-09-18T17:45:00+0200,18.82,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:00:00Z,2026-09-18T18:00:00+0200,3627.09,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:00:00Z,2026-09-18T18:00:00+0200,18.792,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:15:00Z,2026-09-18T18:15:00+0200,3761.174,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:15:00Z,2026-09-18T18:15:00+0200,18.774,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:30:00Z,2026-09-18T18:30:00+0200,3739.576,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T08:13:55Z
2026-09-25T08:11:45Z,2026-09-25T10:11:45+0200,60336370-3f51-4dfb-aafe-239a13d07fc8,2026-09-18T16:30:00Z,2026-09-18T18:30:00+0200,18.734,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-25T08:13:55Z
