collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:15:00Z,2026-09-05T17:15:00+0200,1851.05,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:15:00Z,2026-09-05T17:15:00+0200,2.179,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:30:00Z,2026-09-05T17:30:00+0200,1908.042,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:30:00Z,2026-09-05T17:30:00+0200,2.198,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:45:00Z,2026-09-05T17:45:00+0200,1993.49,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T15:45:00Z,2026-09-05T17:45:00+0200,2.182,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:00:00Z,2026-09-05T18:00:00+0200,1817.834,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:00:00Z,2026-09-05T18:00:00+0200,1.758,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:15:00Z,2026-09-05T18:15:00+0200,1775.079,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:15:00Z,2026-09-05T18:15:00+0200,1.387,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:30:00Z,2026-09-05T18:30:00+0200,1734.32,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:30:00Z,2026-09-05T18:30:00+0200,1.671,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:45:00Z,2026-09-05T18:45:00+0200,1610.708,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T16:45:00Z,2026-09-05T18:45:00+0200,1.915,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T12:51:29Z
2026-09-12T12:49:22Z,2026-09-12T14:49:22+0200,43b39ce6-59de-4236-b9a1-6104205afebe,2026-09-05T17:00:00Z,2026-09-05T19:00:00+0200,1418.4,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T12:51:29Z
