collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:00:00Z,2026-09-16T20:00:00+0200,1153.277,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:00:00Z,2026-09-16T20:00:00+0200,3.343,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:15:00Z,2026-09-16T20:15:00+0200,1154.083,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:15:00Z,2026-09-16T20:15:00+0200,2.921,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:30:00Z,2026-09-16T20:30:00+0200,1198.45,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:30:00Z,2026-09-16T20:30:00+0200,2.833,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:45:00Z,2026-09-16T20:45:00+0200,1115.982,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T18:45:00Z,2026-09-16T20:45:00+0200,6.298,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:00:00Z,2026-09-16T21:00:00+0200,1130.494,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:00:00Z,2026-09-16T21:00:00+0200,5.683,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:15:00Z,2026-09-16T21:15:00+0200,1090.288,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:15:00Z,2026-09-16T21:15:00+0200,6.08,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:30:00Z,2026-09-16T21:30:00+0200,935.452,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:30:00Z,2026-09-16T21:30:00+0200,5.509,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:45:00Z,2026-09-16T21:45:00+0200,794.109,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T19:45:00Z,2026-09-16T21:45:00+0200,4.552,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T20:00:00Z,2026-09-16T22:00:00+0200,755.75,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-23T17:19:12Z
2026-09-23T17:16:43Z,2026-09-23T19:16:43+0200,633f9586-f8d3-44a1-948a-317beef7ab63,2026-09-16T20:00:00Z,2026-09-16T22:00:00+0200,4.408,MW,NL,NL,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-23T17:19:12Z
