timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-01-02T09:30:00Z,2026-01-02T10:30:00+0100,5440.96,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T09:45:00Z,2026-01-02T10:45:00+0100,5393.63,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T10:00:00Z,2026-01-02T11:00:00+0100,5431.36,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T10:15:00Z,2026-01-02T11:15:00+0100,5425.06,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T10:30:00Z,2026-01-02T11:30:00+0100,5351.57,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T10:45:00Z,2026-01-02T11:45:00+0100,5415.89,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T11:00:00Z,2026-01-02T12:00:00+0100,5531.76,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T11:15:00Z,2026-01-02T12:15:00+0100,5648.73,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T11:30:00Z,2026-01-02T12:30:00+0100,5722.89,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T11:45:00Z,2026-01-02T12:45:00+0100,5849.2,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T12:00:00Z,2026-01-02T13:00:00+0100,5933.93,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T12:15:00Z,2026-01-02T13:15:00+0100,6045.26,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T12:30:00Z,2026-01-02T13:30:00+0100,6151.36,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T12:45:00Z,2026-01-02T13:45:00+0100,6305.47,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T13:00:00Z,2026-01-02T14:00:00+0100,6333.23,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T13:15:00Z,2026-01-02T14:15:00+0100,6311.57,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T13:30:00Z,2026-01-02T14:30:00+0100,6298.83,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T13:45:00Z,2026-01-02T14:45:00+0100,6030.95,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T14:00:00Z,2026-01-02T15:00:00+0100,5721.45,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T14:15:00Z,2026-01-02T15:15:00+0100,5486.55,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T14:30:00Z,2026-01-02T15:30:00+0100,5342.78,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T14:45:00Z,2026-01-02T15:45:00+0100,5097.89,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T15:00:00Z,2026-01-02T16:00:00+0100,4999.25,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T15:15:00Z,2026-01-02T16:15:00+0100,4874.61,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T15:30:00Z,2026-01-02T16:30:00+0100,4895.03,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T15:45:00Z,2026-01-02T16:45:00+0100,4904.48,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T16:00:00Z,2026-01-02T17:00:00+0100,4780.67,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T16:15:00Z,2026-01-02T17:15:00+0100,4720.58,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T16:30:00Z,2026-01-02T17:30:00+0100,4860.97,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T16:45:00Z,2026-01-02T17:45:00+0100,4946.2,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T17:00:00Z,2026-01-02T18:00:00+0100,4942.1,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T17:15:00Z,2026-01-02T18:15:00+0100,4941.76,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T17:30:00Z,2026-01-02T18:30:00+0100,4902.08,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
2026-01-02T17:45:00Z,2026-01-02T18:45:00+0100,4861.8,MW,FR,FR,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-08-07T15:33:27Z
