collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T05:00:00Z,2026-06-18T07:00:00+0200,149.71,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T06:00:00Z,2026-06-18T08:00:00+0200,172.7425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T07:00:00Z,2026-06-18T09:00:00+0200,121.95,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T08:00:00Z,2026-06-18T10:00:00+0200,25.62,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T09:00:00Z,2026-06-18T11:00:00+0200,2.5625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T09:00:00Z,2026-06-18T11:00:00+0200,4.2825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T10:00:00Z,2026-06-18T12:00:00+0200,25.875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T11:00:00Z,2026-06-18T13:00:00+0200,25.4375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T12:00:00Z,2026-06-18T14:00:00+0200,23.3625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T13:00:00Z,2026-06-18T15:00:00+0200,15.835,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T14:00:00Z,2026-06-18T16:00:00+0200,26.4725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T15:00:00Z,2026-06-18T17:00:00+0200,16.605,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T15:00:00Z,2026-06-18T17:00:00+0200,15.7625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T16:00:00Z,2026-06-18T18:00:00+0200,14.3625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T16:00:00Z,2026-06-18T18:00:00+0200,18.74,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T17:00:00Z,2026-06-18T19:00:00+0200,22.565,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T18:00:00Z,2026-06-18T20:00:00+0200,17.435,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T19:00:00Z,2026-06-18T21:00:00+0200,15.2675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T20:00:00Z,2026-06-18T22:00:00+0200,59.02,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T21:00:00Z,2026-06-18T23:00:00+0200,76.7125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T22:00:00Z,2026-06-19T00:00:00+0200,78.7925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-18T23:00:00Z,2026-06-19T01:00:00+0200,160.9475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T00:00:00Z,2026-06-19T02:00:00+0200,195.1175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T01:00:00Z,2026-06-19T03:00:00+0200,282.51,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T02:00:00Z,2026-06-19T04:00:00+0200,260.7375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T03:00:00Z,2026-06-19T05:00:00+0200,322.47,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T04:00:00Z,2026-06-19T06:00:00+0200,386.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T05:00:00Z,2026-06-19T07:00:00+0200,339.9975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T06:00:00Z,2026-06-19T08:00:00+0200,289.7975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T07:00:00Z,2026-06-19T09:00:00+0200,536.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T08:00:00Z,2026-06-19T10:00:00+0200,729.2125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T09:00:00Z,2026-06-19T11:00:00+0200,711.59,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T10:00:00Z,2026-06-19T12:00:00+0200,346.41,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T11:00:00Z,2026-06-19T13:00:00+0200,98.5475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T12:00:00Z,2026-06-19T14:00:00+0200,10.9975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T12:00:00Z,2026-06-19T14:00:00+0200,2.68,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T13:00:00Z,2026-06-19T15:00:00+0200,12.155,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T13:00:00Z,2026-06-19T15:00:00+0200,2.175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T14:00:00Z,2026-06-19T16:00:00+0200,164.54,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T15:00:00Z,2026-06-19T17:00:00+0200,408.35,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T16:00:00Z,2026-06-19T18:00:00+0200,435.445,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T17:00:00Z,2026-06-19T19:00:00+0200,556.2025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T18:00:00Z,2026-06-19T20:00:00+0200,850.965,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T19:00:00Z,2026-06-19T21:00:00+0200,295.805,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T20:00:00Z,2026-06-19T22:00:00+0200,227.7325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T21:00:00Z,2026-06-19T23:00:00+0200,423.2425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T22:00:00Z,2026-06-20T00:00:00+0200,507.0675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-19T23:00:00Z,2026-06-20T01:00:00+0200,584.2725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
2026-07-18T07:51:41Z,2026-07-18T09:51:41+0200,485d8075-2577-4b7d-aabe-28d631e24197,2026-06-20T00:00:00Z,2026-06-20T02:00:00+0200,438.62,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-18T07:52:01Z
