collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-06-30T23:00:00Z,2026-07-01T01:00:00+0200,246.7975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T00:00:00Z,2026-07-01T02:00:00+0200,175.7875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T01:00:00Z,2026-07-01T03:00:00+0200,129.4775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T02:00:00Z,2026-07-01T04:00:00+0200,125.3,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T03:00:00Z,2026-07-01T05:00:00+0200,141.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T04:00:00Z,2026-07-01T06:00:00+0200,94.245,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T05:00:00Z,2026-07-01T07:00:00+0200,77.565,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T06:00:00Z,2026-07-01T08:00:00+0200,83.4925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T07:00:00Z,2026-07-01T09:00:00+0200,96.91,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T08:00:00Z,2026-07-01T10:00:00+0200,109.5275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T09:00:00Z,2026-07-01T11:00:00+0200,148.1125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T10:00:00Z,2026-07-01T12:00:00+0200,89.8975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T11:00:00Z,2026-07-01T13:00:00+0200,87.6,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T12:00:00Z,2026-07-01T14:00:00+0200,114.3525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T13:00:00Z,2026-07-01T15:00:00+0200,150.465,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T14:00:00Z,2026-07-01T16:00:00+0200,216.9525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T15:00:00Z,2026-07-01T17:00:00+0200,241.7675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T16:00:00Z,2026-07-01T18:00:00+0200,326.0025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T17:00:00Z,2026-07-01T19:00:00+0200,543.3825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T18:00:00Z,2026-07-01T20:00:00+0200,759.995,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T19:00:00Z,2026-07-01T21:00:00+0200,901.47,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
2026-07-31T04:46:12Z,2026-07-31T06:46:12+0200,6c0ecf9a-71b1-48ff-84da-3024fa494000,2026-07-01T20:00:00Z,2026-07-01T22:00:00+0200,938.3425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-07-31T04:46:35Z
