collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T02:00:00Z,2026-09-19T04:00:00+0200,2174.5125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T03:00:00Z,2026-09-19T05:00:00+0200,2165.37,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T04:00:00Z,2026-09-19T06:00:00+0200,2159.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T05:00:00Z,2026-09-19T07:00:00+0200,2159.4925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T06:00:00Z,2026-09-19T08:00:00+0200,2163.6675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T07:00:00Z,2026-09-19T09:00:00+0200,2153.03,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T08:00:00Z,2026-09-19T10:00:00+0200,2153.7475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T09:00:00Z,2026-09-19T11:00:00+0200,2156.83,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T10:00:00Z,2026-09-19T12:00:00+0200,2162.36,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
2026-09-25T05:46:35Z,2026-09-25T07:46:35+0200,8e5226eb-7e8e-4943-9d0a-0b0f2d0a5014,2026-09-19T11:00:00Z,2026-09-19T13:00:00+0200,2170.13,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T05:48:52Z
