collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T11:00:00Z,2026-09-06T13:00:00+0200,66.71,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T12:00:00Z,2026-09-06T14:00:00+0200,1.585,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T12:00:00Z,2026-09-06T14:00:00+0200,11.3675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T13:00:00Z,2026-09-06T15:00:00+0200,30.285,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T14:00:00Z,2026-09-06T16:00:00+0200,28.99,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T15:00:00Z,2026-09-06T17:00:00+0200,8.8525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T16:00:00Z,2026-09-06T18:00:00+0200,6.6275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T16:00:00Z,2026-09-06T18:00:00+0200,3.5375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T17:00:00Z,2026-09-06T19:00:00+0200,53.6575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T18:00:00Z,2026-09-06T20:00:00+0200,164.5825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T19:00:00Z,2026-09-06T21:00:00+0200,335.9375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T20:00:00Z,2026-09-06T22:00:00+0200,313.28,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T21:00:00Z,2026-09-06T23:00:00+0200,385.7625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T22:00:00Z,2026-09-07T00:00:00+0200,392.7725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-06T23:00:00Z,2026-09-07T01:00:00+0200,638.4975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T00:00:00Z,2026-09-07T02:00:00+0200,608.6075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T01:00:00Z,2026-09-07T03:00:00+0200,482.91,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T02:00:00Z,2026-09-07T04:00:00+0200,462.9975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T03:00:00Z,2026-09-07T05:00:00+0200,530.19,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T04:00:00Z,2026-09-07T06:00:00+0200,392.1075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T05:00:00Z,2026-09-07T07:00:00+0200,342.225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T06:00:00Z,2026-09-07T08:00:00+0200,365.5575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T07:00:00Z,2026-09-07T09:00:00+0200,447.1525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T08:00:00Z,2026-09-07T10:00:00+0200,499.71,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T09:00:00Z,2026-09-07T11:00:00+0200,985.44,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T10:00:00Z,2026-09-07T12:00:00+0200,1083.4625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T11:00:00Z,2026-09-07T13:00:00+0200,926.515,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T12:00:00Z,2026-09-07T14:00:00+0200,1218.1925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T13:00:00Z,2026-09-07T15:00:00+0200,1822.71,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T14:00:00Z,2026-09-07T16:00:00+0200,2033.42,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T15:00:00Z,2026-09-07T17:00:00+0200,2027.9475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T16:00:00Z,2026-09-07T18:00:00+0200,2023.2325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T17:00:00Z,2026-09-07T19:00:00+0200,2004.875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T18:00:00Z,2026-09-07T20:00:00+0200,2030.395,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T19:00:00Z,2026-09-07T21:00:00+0200,2046.0275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T20:00:00Z,2026-09-07T22:00:00+0200,1995.4375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T21:00:00Z,2026-09-07T23:00:00+0200,2053.325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
2026-09-12T17:07:50Z,2026-09-12T19:07:50+0200,714ec09e-9c02-4268-b943-1d440ed31bbe,2026-09-07T22:00:00Z,2026-09-08T00:00:00+0200,2069.925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-12T17:09:38Z
