collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-28T19:00:00Z,2026-08-28T21:00:00+0200,2147.16,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-28T20:00:00Z,2026-08-28T22:00:00+0200,2154.1175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-28T21:00:00Z,2026-08-28T23:00:00+0200,2143.6475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-28T22:00:00Z,2026-08-29T00:00:00+0200,2147.54,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-28T23:00:00Z,2026-08-29T01:00:00+0200,2142.7975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T00:00:00Z,2026-08-29T02:00:00+0200,2145.8725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T01:00:00Z,2026-08-29T03:00:00+0200,2148.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T02:00:00Z,2026-08-29T04:00:00+0200,2145.89,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T03:00:00Z,2026-08-29T05:00:00+0200,2136.9525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
2026-09-03T21:03:47Z,2026-09-03T23:03:47+0200,9dcab7ac-2a0c-4083-824c-027b621db6f0,2026-08-29T04:00:00Z,2026-08-29T06:00:00+0200,2076.2775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-03T21:05:27Z
