collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T03:00:00Z,2026-09-11T05:00:00+0200,1510.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T04:00:00Z,2026-09-11T06:00:00+0200,1652.795,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T05:00:00Z,2026-09-11T07:00:00+0200,1335.3825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T06:00:00Z,2026-09-11T08:00:00+0200,1059.165,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T07:00:00Z,2026-09-11T09:00:00+0200,708.9675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T08:00:00Z,2026-09-11T10:00:00+0200,445.3725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T09:00:00Z,2026-09-11T11:00:00+0200,229.5725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T10:00:00Z,2026-09-11T12:00:00+0200,81.715,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T11:00:00Z,2026-09-11T13:00:00+0200,90.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T12:00:00Z,2026-09-11T14:00:00+0200,119.7325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T13:00:00Z,2026-09-11T15:00:00+0200,102.3875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T14:00:00Z,2026-09-11T16:00:00+0200,15.3975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T15:00:00Z,2026-09-11T17:00:00+0200,7.11,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
2026-09-17T05:14:40Z,2026-09-17T07:14:40+0200,4696ca29-8141-46ac-88cf-38364fa044b9,2026-09-11T16:00:00Z,2026-09-11T18:00:00+0200,27.355,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-17T05:17:45Z
