collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T18:00:00Z,2026-09-18T20:00:00+0200,2182.82,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T19:00:00Z,2026-09-18T21:00:00+0200,2182.3225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T20:00:00Z,2026-09-18T22:00:00+0200,2164.775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T21:00:00Z,2026-09-18T23:00:00+0200,2164.9875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T22:00:00Z,2026-09-19T00:00:00+0200,2180.5025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-18T23:00:00Z,2026-09-19T01:00:00+0200,2184.785,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T00:00:00Z,2026-09-19T02:00:00+0200,2180.42,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T01:00:00Z,2026-09-19T03:00:00+0200,2173.4225,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T02:00:00Z,2026-09-19T04:00:00+0200,2174.5125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T03:00:00Z,2026-09-19T05:00:00+0200,2165.37,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
2026-09-25T17:02:50Z,2026-09-25T19:02:50+0200,f33c874c-60ff-44eb-98aa-481ba1f10444,2026-09-19T04:00:00Z,2026-09-19T06:00:00+0200,2159.415,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-25T17:04:49Z
