collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T14:00:00Z,2026-09-12T16:00:00+0200,2108.48,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T15:00:00Z,2026-09-12T17:00:00+0200,2129.5625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T16:00:00Z,2026-09-12T18:00:00+0200,2112.2825,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T17:00:00Z,2026-09-12T19:00:00+0200,2123.63,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T18:00:00Z,2026-09-12T20:00:00+0200,2115.78,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T19:00:00Z,2026-09-12T21:00:00+0200,2093.515,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T20:00:00Z,2026-09-12T22:00:00+0200,1915.715,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T21:00:00Z,2026-09-12T23:00:00+0200,1594.53,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T22:00:00Z,2026-09-13T00:00:00+0200,1251.51,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-12T23:00:00Z,2026-09-13T01:00:00+0200,1166.0375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T00:00:00Z,2026-09-13T02:00:00+0200,870.7775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T01:00:00Z,2026-09-13T03:00:00+0200,664.0475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T02:00:00Z,2026-09-13T04:00:00+0200,602.2,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T03:00:00Z,2026-09-13T05:00:00+0200,606.6525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T04:00:00Z,2026-09-13T06:00:00+0200,466.0575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T05:00:00Z,2026-09-13T07:00:00+0200,409.6675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T06:00:00Z,2026-09-13T08:00:00+0200,250.675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T07:00:00Z,2026-09-13T09:00:00+0200,196.5175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T08:00:00Z,2026-09-13T10:00:00+0200,429.1175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T09:00:00Z,2026-09-13T11:00:00+0200,432.8625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T10:00:00Z,2026-09-13T12:00:00+0200,349.03,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T11:00:00Z,2026-09-13T13:00:00+0200,256.8475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T12:00:00Z,2026-09-13T14:00:00+0200,231.6125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T13:00:00Z,2026-09-13T15:00:00+0200,299.0025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T14:00:00Z,2026-09-13T16:00:00+0200,277.62,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T15:00:00Z,2026-09-13T17:00:00+0200,450.1675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T16:00:00Z,2026-09-13T18:00:00+0200,511.085,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T17:00:00Z,2026-09-13T19:00:00+0200,187.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T18:00:00Z,2026-09-13T20:00:00+0200,19.0075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T18:00:00Z,2026-09-13T20:00:00+0200,2.6375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T19:00:00Z,2026-09-13T21:00:00+0200,19.95,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T20:00:00Z,2026-09-13T22:00:00+0200,27.525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T21:00:00Z,2026-09-13T23:00:00+0200,27.92,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T22:00:00Z,2026-09-14T00:00:00+0200,22.965,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-13T23:00:00Z,2026-09-14T01:00:00+0200,26.4025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T00:00:00Z,2026-09-14T02:00:00+0200,28.995,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T01:00:00Z,2026-09-14T03:00:00+0200,19.125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,0.2975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,10.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T03:00:00Z,2026-09-14T05:00:00+0200,14.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T04:00:00Z,2026-09-14T06:00:00+0200,71.4625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T05:00:00Z,2026-09-14T07:00:00+0200,233.76,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
2026-09-18T19:00:47Z,2026-09-18T21:00:47+0200,70d985d5-17bb-4e89-90a5-143e44f7a1d5,2026-09-14T06:00:00Z,2026-09-14T08:00:00+0200,258.7275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-18T19:04:50Z
