collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T17:00:00Z,2026-09-13T19:00:00+0200,187.66,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T18:00:00Z,2026-09-13T20:00:00+0200,19.0075,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T18:00:00Z,2026-09-13T20:00:00+0200,2.6375,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T19:00:00Z,2026-09-13T21:00:00+0200,19.95,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T20:00:00Z,2026-09-13T22:00:00+0200,27.525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T21:00:00Z,2026-09-13T23:00:00+0200,27.92,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T22:00:00Z,2026-09-14T00:00:00+0200,22.965,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-13T23:00:00Z,2026-09-14T01:00:00+0200,26.4025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-14T00:00:00Z,2026-09-14T02:00:00+0200,28.995,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-14T01:00:00Z,2026-09-14T03:00:00+0200,19.125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,0.2975,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-14T02:00:00Z,2026-09-14T04:00:00+0200,10.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-19T20:37:31Z
2026-09-19T20:35:10Z,2026-09-19T22:35:10+0200,cf763902-fc8f-4ff7-96e6-9004fadfaf6d,2026-09-14T03:00:00Z,2026-09-14T05:00:00+0200,14.0325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-19T20:37:31Z
