collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T19:00:00Z,2026-09-09T21:00:00+0200,165.1325,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T20:00:00Z,2026-09-09T22:00:00+0200,29.2,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T20:00:00Z,2026-09-09T22:00:00+0200,2.58,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T21:00:00Z,2026-09-09T23:00:00+0200,25.925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T22:00:00Z,2026-09-10T00:00:00+0200,28.1275,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-09T23:00:00Z,2026-09-10T01:00:00+0200,27.55,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T00:00:00Z,2026-09-10T02:00:00+0200,26.8925,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T01:00:00Z,2026-09-10T03:00:00+0200,54.655,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T01:00:00Z,2026-09-10T03:00:00+0200,0.815,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Consumption,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T02:00:00Z,2026-09-10T04:00:00+0200,163.05,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T03:00:00Z,2026-09-10T05:00:00+0200,202.2575,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T04:00:00Z,2026-09-10T06:00:00+0200,339.8775,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T05:00:00Z,2026-09-10T07:00:00+0200,516.0675,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T06:00:00Z,2026-09-10T08:00:00+0200,738.69,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T07:00:00Z,2026-09-10T09:00:00+0200,904.5425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T08:00:00Z,2026-09-10T10:00:00+0200,1015.625,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T09:00:00Z,2026-09-10T11:00:00+0200,1179.8025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T10:00:00Z,2026-09-10T12:00:00+0200,1027.5525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T11:00:00Z,2026-09-10T13:00:00+0200,609.5525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T12:00:00Z,2026-09-10T14:00:00+0200,486.0725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T13:00:00Z,2026-09-10T15:00:00+0200,417.875,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T14:00:00Z,2026-09-10T16:00:00+0200,489.34,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T15:00:00Z,2026-09-10T17:00:00+0200,931.3125,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T16:00:00Z,2026-09-10T18:00:00+0200,991.2175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T17:00:00Z,2026-09-10T19:00:00+0200,1073.215,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T18:00:00Z,2026-09-10T20:00:00+0200,1109.1,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T19:00:00Z,2026-09-10T21:00:00+0200,1149.175,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T20:00:00Z,2026-09-10T22:00:00+0200,1057.015,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T21:00:00Z,2026-09-10T23:00:00+0200,1262.6725,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T22:00:00Z,2026-09-11T00:00:00+0200,1258.6475,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-10T23:00:00Z,2026-09-11T01:00:00+0200,1381.8425,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T00:00:00Z,2026-09-11T02:00:00+0200,1189.3525,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T01:00:00Z,2026-09-11T03:00:00+0200,1250.7025,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T02:00:00Z,2026-09-11T04:00:00+0200,1334.51,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
2026-09-15T21:22:22Z,2026-09-15T23:22:22+0200,44f20838-4b7e-4201-a674-1cc338e31be6,2026-09-11T03:00:00Z,2026-09-11T05:00:00+0200,1510.49,MW,BE,BE,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-09-15T21:24:52Z
