collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T19:30:00Z,2026-05-19T21:30:00+0200,1507.55,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T19:45:00Z,2026-05-19T21:45:00+0200,1420.72,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T20:00:00Z,2026-05-19T22:00:00+0200,1398.95,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T20:15:00Z,2026-05-19T22:15:00+0200,1455.47,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T20:30:00Z,2026-05-19T22:30:00+0200,1336.92,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T20:45:00Z,2026-05-19T22:45:00+0200,1363.33,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T21:00:00Z,2026-05-19T23:00:00+0200,1399.82,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T21:15:00Z,2026-05-19T23:15:00+0200,1372.34,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T21:30:00Z,2026-05-19T23:30:00+0200,1235.16,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T21:45:00Z,2026-05-19T23:45:00+0200,1282.98,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T22:00:00Z,2026-05-20T00:00:00+0200,1324.43,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T22:15:00Z,2026-05-20T00:15:00+0200,1388.53,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T22:30:00Z,2026-05-20T00:30:00+0200,1312.71,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T22:45:00Z,2026-05-20T00:45:00+0200,1137.93,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T23:00:00Z,2026-05-20T01:00:00+0200,1153.63,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T23:15:00Z,2026-05-20T01:15:00+0200,1152.61,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T23:30:00Z,2026-05-20T01:30:00+0200,1218.68,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-19T23:45:00Z,2026-05-20T01:45:00+0200,1263.35,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-20T00:00:00Z,2026-05-20T02:00:00+0200,1316.53,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-20T00:15:00Z,2026-05-20T02:15:00+0200,1372.09,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-20T00:30:00Z,2026-05-20T02:30:00+0200,1369.72,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-20T00:45:00Z,2026-05-20T02:45:00+0200,1535.92,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
2026-06-19T14:18:36Z,2026-06-19T16:18:36+0200,b8f7d241-6d98-4373-87bc-2bf0dddfda4d,2026-05-20T01:00:00Z,2026-05-20T03:00:00+0200,1433.28,MW,FR,FR,actual_offshore_wind_generation,Wind Offshore | Actual Aggregated,2026-06-19T14:21:10Z
