collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T11:30:00Z,2026-06-29T13:30:00+0200,263.247,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T11:30:00Z,2026-06-29T13:30:00+0200,4.885,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T11:45:00Z,2026-06-29T13:45:00+0200,276.255,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T11:45:00Z,2026-06-29T13:45:00+0200,4.736,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:00:00Z,2026-06-29T14:00:00+0200,288.858,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:00:00Z,2026-06-29T14:00:00+0200,4.71,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:15:00Z,2026-06-29T14:15:00+0200,278.412,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:15:00Z,2026-06-29T14:15:00+0200,4.639,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:30:00Z,2026-06-29T14:30:00+0200,286.647,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-07-30T09:09:16Z
2026-07-30T08:08:45Z,2026-07-30T10:08:45+0200,24eb10b3-7005-49e9-a3de-7509d2afec21,2026-06-29T12:30:00Z,2026-06-29T14:30:00+0200,3.547,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-07-30T09:09:16Z
