collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:15:00Z,2026-09-09T11:15:00+0200,726.047,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:15:00Z,2026-09-09T11:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:30:00Z,2026-09-09T11:30:00+0200,721.94,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:30:00Z,2026-09-09T11:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:45:00Z,2026-09-09T11:45:00+0200,702.611,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T09:45:00Z,2026-09-09T11:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:00:00Z,2026-09-09T12:00:00+0200,623.309,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:00:00Z,2026-09-09T12:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:15:00Z,2026-09-09T12:15:00+0200,593.676,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:15:00Z,2026-09-09T12:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:30:00Z,2026-09-09T12:30:00+0200,680.72,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-16T06:51:36Z
2026-09-16T06:50:04Z,2026-09-16T08:50:04+0200,eb3d81cb-853d-441f-95af-a491ce02eb6e,2026-09-09T10:30:00Z,2026-09-09T12:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-16T06:51:36Z
