collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-26T23:15:00Z,2026-08-27T01:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-26T23:30:00Z,2026-08-27T01:30:00+0200,366.939,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-26T23:30:00Z,2026-08-27T01:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-26T23:45:00Z,2026-08-27T01:45:00+0200,339.865,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-26T23:45:00Z,2026-08-27T01:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:00:00Z,2026-08-27T02:00:00+0200,337.982,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:00:00Z,2026-08-27T02:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:15:00Z,2026-08-27T02:15:00+0200,369.306,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:15:00Z,2026-08-27T02:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:30:00Z,2026-08-27T02:30:00+0200,416.759,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:30:00Z,2026-08-27T02:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:45:00Z,2026-08-27T02:45:00+0200,428.379,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T00:45:00Z,2026-08-27T02:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:00:00Z,2026-08-27T03:00:00+0200,369.333,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:00:00Z,2026-08-27T03:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:15:00Z,2026-08-27T03:15:00+0200,358.867,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:15:00Z,2026-08-27T03:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:30:00Z,2026-08-27T03:30:00+0200,371.363,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:30:00Z,2026-08-27T03:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:45:00Z,2026-08-27T03:45:00+0200,392.684,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T01:45:00Z,2026-08-27T03:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:00:00Z,2026-08-27T04:00:00+0200,365.421,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:00:00Z,2026-08-27T04:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:15:00Z,2026-08-27T04:15:00+0200,335.238,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:15:00Z,2026-08-27T04:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:30:00Z,2026-08-27T04:30:00+0200,358.894,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:30:00Z,2026-08-27T04:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:45:00Z,2026-08-27T04:45:00+0200,363.312,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T02:45:00Z,2026-08-27T04:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T03:00:00Z,2026-08-27T05:00:00+0200,334.369,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T03:00:00Z,2026-08-27T05:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T03:15:00Z,2026-08-27T05:15:00+0200,335.827,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-02T20:45:57Z
2026-09-02T20:44:49Z,2026-09-02T22:44:49+0200,8323e810-b195-41bb-9e21-529de71b29ce,2026-08-27T03:15:00Z,2026-08-27T05:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-02T20:45:57Z
