collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:15:00Z,2026-09-13T20:15:00+0200,32.523,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:15:00Z,2026-09-13T20:15:00+0200,0.394,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:30:00Z,2026-09-13T20:30:00+0200,22.141,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:30:00Z,2026-09-13T20:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:45:00Z,2026-09-13T20:45:00+0200,22.767,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T18:45:00Z,2026-09-13T20:45:00+0200,0.167,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:00:00Z,2026-09-13T21:00:00+0200,26.146,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:00:00Z,2026-09-13T21:00:00+0200,0.199,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:15:00Z,2026-09-13T21:15:00+0200,26.742,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:15:00Z,2026-09-13T21:15:00+0200,0.157,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:30:00Z,2026-09-13T21:30:00+0200,19.552,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:30:00Z,2026-09-13T21:30:00+0200,0.204,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:45:00Z,2026-09-13T21:45:00+0200,15.229,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T19:45:00Z,2026-09-13T21:45:00+0200,1.179,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:00:00Z,2026-09-13T22:00:00+0200,12.431,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:00:00Z,2026-09-13T22:00:00+0200,4.147,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:15:00Z,2026-09-13T22:15:00+0200,13.406,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:15:00Z,2026-09-13T22:15:00+0200,3.68,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:30:00Z,2026-09-13T22:30:00+0200,7.443,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:30:00Z,2026-09-13T22:30:00+0200,4.66,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:45:00Z,2026-09-13T22:45:00+0200,5.749,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T20:45:00Z,2026-09-13T22:45:00+0200,5.507,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:00:00Z,2026-09-13T23:00:00+0200,4.558,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:00:00Z,2026-09-13T23:00:00+0200,6.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:15:00Z,2026-09-13T23:15:00+0200,3.577,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:15:00Z,2026-09-13T23:15:00+0200,6.361,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:30:00Z,2026-09-13T23:30:00+0200,2.91,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:30:00Z,2026-09-13T23:30:00+0200,6.309,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:45:00Z,2026-09-13T23:45:00+0200,2.312,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T21:45:00Z,2026-09-13T23:45:00+0200,6.009,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:00:00Z,2026-09-14T00:00:00+0200,0.869,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-20T15:15:56Z
2026-09-20T15:14:32Z,2026-09-20T17:14:32+0200,c3908f94-e6d9-48f1-8b21-8aef36e265a1,2026-09-13T22:00:00Z,2026-09-14T00:00:00+0200,6.862,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-20T15:15:56Z
