collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T08:45:00Z,2026-09-06T10:45:00+0200,95.875,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T08:45:00Z,2026-09-06T10:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:00:00Z,2026-09-06T11:00:00+0200,90.302,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:00:00Z,2026-09-06T11:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:15:00Z,2026-09-06T11:15:00+0200,107.495,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:15:00Z,2026-09-06T11:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:30:00Z,2026-09-06T11:30:00+0200,59.652,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:30:00Z,2026-09-06T11:30:00+0200,0.114,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:45:00Z,2026-09-06T11:45:00+0200,58.583,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-13T06:20:27Z
2026-09-13T06:18:59Z,2026-09-13T08:18:59+0200,6d37e6b8-d4d9-4674-8d0d-bded06941243,2026-09-06T09:45:00Z,2026-09-06T11:45:00+0200,0.028,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-13T06:20:27Z
