collection_time_utc,collection_time_local,run_id,timestamp_utc,timestamp_local,value,unit,country,entsoe_area,variable,source,updated_at_utc
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:00:00Z,2026-09-03T02:00:00+0200,654.541,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:00:00Z,2026-09-03T02:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:15:00Z,2026-09-03T02:15:00+0200,657.536,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:15:00Z,2026-09-03T02:15:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:30:00Z,2026-09-03T02:30:00+0200,728.501,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:30:00Z,2026-09-03T02:30:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:45:00Z,2026-09-03T02:45:00+0200,776.403,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T00:45:00Z,2026-09-03T02:45:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T01:00:00Z,2026-09-03T03:00:00+0200,796.582,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T01:00:00Z,2026-09-03T03:00:00+0200,0.0,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Consumption,2026-09-09T23:26:12Z
2026-09-09T23:24:00Z,2026-09-10T01:24:00+0200,a5829e79-ba59-42d5-8d19-4a3a07fd4fde,2026-09-03T01:15:00Z,2026-09-03T03:15:00+0200,782.771,MW,NL,NL,actual_onshore_wind_generation,Wind Onshore | Actual Aggregated,2026-09-09T23:26:12Z
